CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA
4,31141E+12;9927484;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FARMACIAS;BENJAMIN CONSTANT;1707;;FLORESTAL;95900700;4;1.0;43;431140;-29,45772228;-51,97159767;2046;Farmácia;8.0;0;1;0;0;5;0;0;0;0;0;0
4,3114E+12;216895;;3;1;DF SERVICOS DE DIAGNOSTICO LTDA;DF SERVICOS DE DIAGNOSTICO;RUA FIALHO DE VARGAS;320;SALA 803;CENTRO;95900016;4;1.0;39;431140;-29,46151498;-51,96364224;2062;Unidade de Apoio Diagnóstico;2.0;0;0;0;4;0;1;0;0;0;0;0
4,3114E+12;257672;;3;1;FERNANDA MULLER DOMENEGHINI;FERNANDA MULLER DOMENEGHINI;RUA ARLINDO BRIETZKE;140;SOBRADO 06;MOINHOS DAGUA;95904345;4;1.0;22;431140;-29,45014579;-52,00238943;2135;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;9641432;;3;1;JOAO ALBERTO SELIG JUNIOR;PRONTODENTE CENTRO IMP DENT REAB ORAL E MAXILOFACIAL;AVENIDA BENJAMIN CONSTANT;980;SALA 906;CENTRO;95900104;4;1.0;22;431140;-29,46267331;-51,96741343;2062;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31141E+12;9198180;;3;1;KERN KIELING SERVICOS DE SAUDE SS ME;NUCLEO MID;AV BENJAMIN CONSTANT;852;SALA 302;CENTRO;95900104;4;3.0;36;431140;-29,4635654;-51,96671605;2232;Ambulatório;1.0;0;0;0;0;0;3;0;0;0;0;0
4,31141E+12;9319905;;3;1;LANZINI ASSISTENCIA EM MEDICA LTDA ME;BEM ESTAR ASSISTENCIA EM SAUDE;BENJAMIN CONSTANT;648;;CENTRO;95900106;4;1.0;22;431140;-29,46495257;-51,96327209;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;5065216;;1;1;MARISTELA ZEN;MARISTELA ZEN;RUA SANTOS FILHO;401;202;CENTRO;95900186;4;3.0;22;431140;-29,4661435;-51,9714313;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;885606;;3;1;PMP DROGARIA E COMERCIO DE ELETRONICOS SA;FARMACIA PRECO MAIS POPULAR;SALDANHA MARINHO;359;;CENTRO;95900020;4;1.0;43;431140;-29,46171115;-51,96622789;2054;Farmácia;8.0;0;0;0;0;0;0;0;0;0;0;0
4,3114E+12;2871793;;3;1;LARISSA GIOVANELLA ODONTOLOGIA LTDA;LARISSA GIOVANELLA ODONTOLOGIA;GERMANO BERNER;553;SALA 05;FLORESTAL;95900052;4;1.0;22;431140;-29,4556167;-51,9693046;2062;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31141E+12;9455116;;3;1;LAUREN MALLMANN ME;LAUREN MALLMANN;AV BENJAMIN CONSTANT;760;SALA 203;CENTRO;95900106;4;1.0;22;431140;-29,467;-51,961;2135;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;9062165;;3;1;FUNDACAO VALE DO TAQUARI DE EDUCACAO E DESEN SOCIAL FUVATES;SAUDE UNIVATES;AV ALBERTO MULLER;1000;;CARNEIROS;95913528;1;2.0;4;431140;-29,4498634;-51,9529596;3069;Ambulatório;1.0;0;22;0;9;3;61;18;3;22;0;0
4,31141E+12;9979166;;3;1;SCAGLIONI SCAGLIONI SERVICOS MEDICOS LTDA;CLINICA MEDICA SCAGLIONI;PINHEIRO MACHADO;537;SALA 302;CENTRO;95900078;4;1.0;22;431140;-29,46529819;-51,96590066;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;2988828;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FARMACIAS;SALDANHA MARINHO;359;;CENTRO;95900020;4;1.0;43;431140;-29,46169246;-51,96626544;2046;Farmácia;8.0;0;0;0;0;3;0;0;0;0;0;0
4,3114E+12;3349411;;3;1;DESPERTAR SERVICOS EM SAUDE E EDUCACAO LTDA;DESPERTAR SERVICOS EM SAUDE E EDUCACAO;RUA BENTO ROSA;4000;SL 405 PRED 20;CARNEIROS;95913470;4;3.0;22;431140;-29,4437742;-51,9426032;2062;Ambulatório;1.0;0;0;0;0;0;0;0;0;2;0;0
4,3114E+12;80888;;3;1;MOTTA GOMES GLUSZEVICZ SERVICOS ODONTOLOGICOS LTDA;ODONTOCOMPANY;AVENIDA SENADOR ALBERTO PASQUALINI;61;SALA 108;CENTRO;95900034;4;1.0;36;431140;-29,45563436;-51,96734905;2062;Ambulatório;1.0;0;0;0;0;0;0;3;0;0;0;0
4,3114E+12;3990141;;1;1;SILVIA REGINA DARTORA;SILVIA REGINA DARTORA;BENJAMIN CONSTANT;760;SALA 906;CENTRO;95900106;4;3.0;22;431140;-29,4636448;-51,96395874;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;9721614;;3;1;JULIANA KRATOCHVIL EIRELI;JULIANA KRATOCHVIL;AVENIDA BENJAMIN CONSTANT;1194;SALA 803;CENTRO;95900056;4;3.0;22;431140;-29,46101521;-51,96838439;2305;Ambulatório;1.0;0;0;0;0;0;0;0;0;0;0;0
4,3114E+12;250929;;3;1;COMERCIO DE MEDICAMENTOS BRAIR LTDA;SAO JOAO FARMACIAS;RUA JULIO DE CASTILHOS;702;LOJA 01;CENTRO;95900170;4;1.0;43;431140;-29,46451354;-51,96462393;2062;Farmácia;8.0;0;0;0;0;1;0;0;0;0;0;0
4,3114E+12;2945584;;1;1;JULIANO SOARES RABELLO MOREIRA;JULIANO SOARES RABELLO MOREIRA;AVENIDA PIRAI;300;1109;SAO CRISTOVAO;95913148;4;1.0;22;431140;-29,4466423;-51,96546078;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;2959739;;3;1;VMSL CLINICA ODONTOLOGICA LTDA;RISU ODONTOLOGIA ESPECIALIZADA;AVENIDADE BENJAMIN CONSTANT;1194;SALA 303;CENTRO;95900056;4;1.0;36;431140;-29,46086107;-51,96842194;2062;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3114E+12;688088;;3;1;DEBORA LENGLER;DEBORA LENGLER;RODOLFO GERMANO HEXSEL;98;;HIDRAULICA;95900212;4;1.0;22;431140;-29,46371953;-51,95940971;2135;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3114E+12;840084;;3;1;LOPES CLINICA DE OLHOS LTDA;LOPES CLINICA DE OLHOS;AVENIDA BENJAMIN CONSTANT;1126;SALA 805;CENTRO;95900104;4;1.0;22;431140;-29,46119737;-51,96788549;2062;Ambulatório;1.0;0;1;0;0;0;1;0;0;0;0;0
4,31141E+12;9354573;;3;1;REUVALE CLINICA REUMATOLOGICA DO VALE LTDA EPP;REUVALE CLINICA REUMATOLOGICA DO VALE;PINHEIRO MACHADO;537;101;CENTRO;95900078;4;1.0;22;431140;-29,46177654;-51,96837902;2062;Unidade de Terapias Especiais;3.0;0;0;0;0;0;2;0;0;0;0;0
4,31141E+12;9924981;;3;1;BD OFTALMOLOGIA LTDA;BD OFTALMOLOGIA LTDA;AVENIDA ALBERTO MULLER;586;;ALTO DO PARQUE;95913265;4;1.0;22;431140;-29,45067831;-51,95368052;2062;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31141E+12;9944133;;3;1;RAFAELA FIORAVANTE TASSINARY 02516161000;RAFAELA FIORAVANTE TASSINARY;AVENIDA BENJAMIN CONSTANT;760;;CENTRO;95900106;4;1.0;22;431140;-29,46443881;-51,96635664;2135;Ambulatório;1.0;0;0;0;1;0;0;0;0;0;0;0
4,31141E+12;9970169;;1;1;CLARISSA DE AGUIAR DUMCKE;CLARISSA DE AGUIAR DUMCKE;AVENIDA BENJAMIN CONSTANT;1058;306B;CENTRO;95900010;4;1.0;22;431140;-29,46205678;-51,96777821;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;9263438;;1;1;LUIS HENRIQUE ATHAIDE HALMENSCHLAGER;LUIS HENRIQUE ATHAIDE HALMENSCHLAGER;JULIO DE CASTILHOS;966;207;CENTRO;95900970;4;3.0;22;431140;-29,46229965;-51,96579337;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;259489;;3;1;COMERCIO DE MEDICAMENTOS BRAIR LTDA;SAO JOAO FARMACIAS;RUA JULIO DE CASTILHOS;566;LOJA 01;CENTRO;95900170;4;1.0;43;431140;-29,46567651;-51,96420014;2062;Farmácia;8.0;0;0;0;0;1;0;0;0;0;0;0
4,3114E+12;856959;;3;1;RCL SERVICOS MEDICOS LTDA;RADIOCLIN;RUA ELIDA ROMANA CEREGATI ALTMAYER;196;SOBRADO 12;UNIVERSITARIO;95914236;4;1.0;39;431140;-29,4317908;-51,95373416;2062;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;857408;;3;1;RAFAEL LAZZARETTI CIA LTDA;RAFAEL LAZZARETTI CIA;TRAVESSA FRANCISCO REINOLDO SULZBACH;30;302;CENTRO;95900032;4;1.0;39;431140;-29,45879658;-51,96638346;2062;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;6705006;;1;1;DAIANE BONELLA;DAIANE BONELLA;BENTO GONCALVES;801;SALA 308;CENTRO;95900174;4;1.0;22;431140;-29,467;-51,961;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;9711791;;1;1;NATALIA AZEM MARTIRE;NATALIA AZEM MARTIRE;PINHEIRO MACHADO;549;;CENTRO;95900024;4;1.0;22;431140;-29,46190732;-51,96835756;4000;Ambulatório;1.0;0;1;0;0;0;1;0;0;0;0;0
4,31141E+12;9061541;;3;1;HEALTH SOLUCOES EM ODONTOLOGIA EIRELI ME;HEALTH SOLUCOES EM SAUDE;AV BENJAMIN CONSTANT;760;406;CENTRO;95900106;4;3.0;22;431140;-29,4599278;-51,9685306;2062;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31141E+12;9790519;;3;1;BACKES CLINICA MEDICA LTDA;BACKES CLINICA MEDICA;JULIO DE CASTILHOS;966;SALA 105;CENTRO;95900170;4;1.0;22;431140;-29,4621969;-51,96593285;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;9744827;;3;1;LL SERVICOS DE ODONTOLOGIA E MEDICINA LTDA;GIOVANELLA SAUDE;DOUTOR GERMANO BERNER;353;SALA 05;CENTRO;95900052;4;1.0;22;431140;-29,45905814;-51,97007954;2062;Ambulatório;1.0;0;0;0;0;0;1;1;0;0;0;0
4,31141E+12;9755926;;1;1;KARINE POLITA ZANON;KARINE POLITA ZANON;BENJAMIN CONSTANT;1010;SALA 302;CENTRO;95900104;4;1.0;22;431140;-29,46229031;-51,9674027;4000;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31141E+12;7623992;;3;1;GUSTAVO L SCHMITT CIA LTDA;UNIAO ASSISTENCIAL;RUA BENTO GONCALVES;1347;SALAS 03 A 07;CENTRO;95900026;4;2.0;4;431140;-29,45828278;-51,96644783;2062;Ambulatório;1.0;0;1;0;7;0;3;2;0;0;0;0
4,31141E+12;9036822;;3;1;CYTOGENE DIAGNOSTICOS MOLECULARES LTDA;CYTOGENE DIAGNOSTICOS MOLECULARES;AV ALBERTO MULLER;1151;PRED 21 SALA 102 103;CARNEIROS;95913528;4;3.0;39;431140;-29,4498634;-51,9529596;2062;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;0;0;0;0;0;0
4,31141E+12;9021884;;3;1;GIONGO E NUTELS LTDA;GIONGO E NUTELS;BENTO GONCALVES;801;201;CENTRO;95900174;4;3.0;22;431140;-29,467;-51,961;2062;Ambulatório;1.0;0;1;0;0;0;2;0;0;0;0;0
4,3114E+12;50318;;1;1;AFONSO WENNEKER ROVEDA;AFONSO WENNEKER ROVEDA;RUA ALEX THOMAS;20;SALA 404;CENTRO;95900030;4;1.0;22;431140;-29,45901144;-51,96672678;4000;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3114E+12;4106644;;3;1;FALLAVENA SERVICOS DE FONOAUDIOLOGIA LTDA;FALLAVENA SERVICOS DE FONOAUDIOLOGIA;OSMAR PEREIRA MACIEL;29;;CARNEIROS;95913520;4;1.0;22;431140;-29,467;-51,961;2062;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31141E+12;9996990;;3;1;CAMILA CERON DAMIANI;AVALIAR SOLUCOES EM PSICOLOGIA;AVENIDA BENJAMIN CONSTANT;760;SALA 404;CENTRO;95900106;4;1.0;22;431140;-29,46445282;-51,966362;2135;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3114E+12;737356;;3;1;UNIMED COOPERATIVA DE SERVICOS DE SAUDE DOS VALES DO TAQUARI;UMIMED ESPACO IMAGINAMENTE;AVENIDA PIRAI;155;SOBRELOJA;SAO CRISTOVAO;95913148;4;1.0;4;431140;-29,4467742;-51,9652182;2143;Ambulatório;1.0;0;0;0;0;0;2;0;1;10;0;0
4,3114E+12;179868;8,7298E+13;3;3;MUNICIPIO DE LAJEADO;CENTRO DE SAUDE SAO CRISTOVAO ESPECIALIDADES;RUA FABIO BRITO DE AZAMBUJA;124;;SAO CRISTOVAO;95901352;4;1.0;2;431140;-29,47579238;-51,99174106;1244;Unidade Básica de Saúde;12.0;0;0;0;0;0;0;0;0;0;0;0
4,3114E+12;2251825;6,89359E+11;3;3;FUNDACAO ESTADUAL DE PRODUCAO E PESQUISA EM SAUDE FEPPS;FEPPS IPB LAJEADO;RUA SALDANHA MARINHO;428;TERREO;CENTRO;95900020;4;1.0;39;431140;-29,4617058;-51,9659039;1147;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;0;0;0;0;0;0
4,31141E+12;7083068;8,7298E+13;3;3;MUNICIPIO DE LAJEADO;ESTRATEGIA DE SAUDE DA FAMILIA OLARIAS 2;RUA CHRISTIANO SCHNEIDER;238;SALA 1;OLARIAS;95910272;4;1.0;1;431140;-29,43358019;-51,99337721;1244;Unidade Básica de Saúde;12.0;4;6;0;9;0;3;0;0;3;1;0
4,31141E+12;7667426;;1;1;FERNANDO LANG BENDER;FERNANDO LANG BENDER;RUA SANTOS FILHO;401;302;CENTRO;95900186;4;1.0;22;431140;-29,4661435;-51,9714313;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;7671016;;3;1;NACES NUCLEO DE ASSESSORIA E CONSULTORIA EM EDUCACAO E SAUDE;NACES;AVENIDA BENJAMIN CONSTANT;1194;SALA 507;CENTRO;95900056;3;3.0;22;431140;-29,4599456;-51,96526766;2062;Unidade de Atenção Psicossocial;11.0;0;0;0;1;0;0;0;0;1;0;0
4,31141E+12;6723039;;3;1;RAUL MUSA ME;MUSA PROTESES ODONTOLOGICAS;PADRE ILFIO JOSE THEISEN;70;101;SAO CRISTOVAO;95913190;4;3.0;39;431140;-29,467;-51,961;2135;Laboratório de Protese Dentária;27.0;0;0;0;0;0;0;0;0;0;0;0
4,3114E+12;2899779;;3;1;CRON CENTRO REGIONAL DE ONCOLOGIA LTDA;CRON CENTRO REGIONAL DE ONCOLOGIA;AVENIDA PIRAI;300;SALA 107;SAO CRISTOVAO;95913148;4;3.0;36;431140;-29,44647413;-51,96598649;2062;Unidade de Terapias Especiais;3.0;0;6;0;5;3;9;0;0;2;2;0
4,3114E+12;4022327;;1;1;LARA ARDENGHI NOGUEIRA;CONSULTORIO OFTALMOLOGICO LARA ARDENGHI;RUA BENTO GONCALVES;801;SALA 707;CENTRO;95900174;4;1.0;22;431140;-29,46353271;-51,9634223;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;5329922;;3;1;LABORATORIO DE PATOLOGIA DO VALE LTDA;CENTRO DE MEDICINA DIAGNOSTICA;CARLOS VON KOZERITZ;462;105;CENTRO;95900012;4;3.0;39;431140;-29,467;-51,961;2062;Unidade de Apoio Diagnóstico;2.0;0;2;0;0;0;1;0;1;0;0;0
4,31141E+12;5329981;;1;1;ILONI RIEDNER BARGHOUT;ILONI RIEDNER BARGHOUT;AV BENJAMIN CONSTANT;940;102;CENTRO;95900104;4;3.0;22;431140;-29,4599278;-51,9685306;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;5330025;;3;1;CLINICA DE FISIOTERAPIA GRUBEL E KICH LTDA;CLINICA DE FISIOTERAPIA GRUBEL E KICH LTDA;AV BENJAMIN CONSTANT;852;SALA 904;CENTRO;95900104;4;3.0;22;431140;-29,4599278;-51,9685306;2062;Unidade de Reabilitação;4.0;0;0;0;0;0;0;0;0;2;0;0
4,31141E+12;5350557;;1;1;GIOVANI GENERALI TOMASETTO;GIOVANI GENERALI TOMASETTO;RUA BENTO GONCALVES;801;604;CENTRO;95900174;4;3.0;22;431140;-29,4625514;-51,9642016;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;7956622;;3;1;AUDIO CLIN OTORRINOLARINGOLOGIA E FONOAUDIOLOGIA SS LTDA;AUDIO CLIN;AVENIDA PIRAI;300;SALA 602;SAO CRISTOVAO;95913148;4;3.0;22;431140;-29,46216888;-51,96769238;2240;Ambulatório;1.0;0;0;0;0;0;1;0;0;1;0;0
4,3114E+12;2898209;;1;1;ROBERTA DREYER FERNANDES;ROBERTA DREYER FERNANDES;AVENIDA PIRAI;300;SALA 107;CENTRO;95900410;4;1.0;22;431140;-29,46200073;-51,966995;4000;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,3114E+12;2955415;;1;1;BRUNA DE LIMA PORTO;BRUNA DE LIMA PORTO;AVENIDA ALBERTO MULLER;586;;ALTO DO PARQUE;95913265;4;1.0;22;431140;-29,4451723;-51,9498869;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31141E+12;7753438;;1;1;ANDERSON WEBER BOCCA;ANDERSON WEBER BOCCA;BENJAMIN CONSTANT;1058;SALA 302;CENTRO;95900104;4;3.0;22;431140;-29,46188863;-51,967628;4000;Ambulatório;1.0;0;0;0;0;0;0;0;0;0;0;0
4,31141E+12;9962948;;3;1;FLORESTAL ALIMENTOS S A;FABRICA DE BALAS E PIRULITOS FLORESTAL;RODOVIA BR 386;2230;KM 343;MONTANHA;95905130;4;1.0;22;431140;-29,44275561;-51,98646784;2054;Ambulatório;1.0;0;0;0;2;0;1;1;0;1;0;0
4,31141E+12;9783598;;1;1;BARBARA FONTES MACEDO;BARBARA FONTES MACEDO;ALBERTO MULLER;586;;ALTO DO PARQUE;95913265;4;1.0;22;431140;-29,45057088;-51,95360541;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;87823;;3;1;UNIDADE RADIOLOGICA GAUCHA LTDA;UNIRAD;RUA JULIO DE CASTILHOS;940;SUBSOLO 2;CENTRO;95900022;4;1.0;22;431140;-29,46248181;-51,96557879;2062;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;802476;;3;1;NATURAL DENTE SERVICOS DE PROTESE DENTARIA LTDA;NATURAL DENTE PROTESE DENTARIA;FREDERICO LEOPOLDO DEXHEIMER;62;;MOINHOS DAGUA;95904429;4;3.0;39;431140;-29,4520716;-51,9991075;2062;Laboratório de Protese Dentária;27.0;0;0;0;0;0;0;0;1;0;0;0
4,31141E+12;9932879;8,7298E+13;3;3;MUNICIPIO DE LAJEADO;OPO 6 Hospital BRUNO BORN DE LAJEADO;AV BENJAMIN CONSTANT;881;;CENTRO;95900010;4;;82;431140;-29,46293487;-51,96644783;1244;Central de Transplante;25.0;0;1;0;3;0;2;0;0;0;0;0
4,31141E+12;9915230;;3;1;CLINICA MEDICA CASELANI LTDA;CLINICA MEDICA CASELANI LTDA;AVENIDA SETE DE SETEMBRO;945;SOB 03;MOINHOS;95900832;4;1.0;22;431140;-29,46119737;-51,97694063;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;4092449;;3;1;LD ASSISTENCIA E CONSULTORIA MEDICA LTDA;LD ASSISTENCIA E CONSULTORIA MEDICA;RUA BELEM;1671;SOBRADO 04;UNIVERSITARIO;95914224;4;1.0;22;431140;-29,4385571;-51,949481;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;889377;;3;1;MEZZOMOMED ASSISTENCIA MEDICA LTDA;MEZZOMOMED ASSISTENCIA MEDICA;SANTOS DUMONT;46;302;CENTRO;95900072;4;3.0;22;431140;-29,46160372;-51,97204828;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;3407594;;1;1;RAFAEL PINTO DOS SANTOS;RAFAEL PINTO DOS SANTOS;PINHEIRO MACHADO;861;SALA 101;CENTRO;95900078;4;1.0;22;431140;-29,46302828;-51,97125435;4000;Ambulatório;1.0;0;0;0;0;0;0;0;0;2;0;0
4,3114E+12;314641;;3;1;DENTAL WALKER WOMMER LTDA;DENTAL LAB WW;AVENIDA SENADOR ALBERTO PASQUALINI;489;SALA 202;AMERICANO;95900560;4;1.0;39;431140;-29,46606416;-51,96345448;2062;Laboratório de Protese Dentária;27.0;0;0;0;0;0;0;0;1;0;0;0
4,31141E+12;5039509;;1;1;ALFREDO JORGE BERGESCH;ALFREDO JORGE BERGESCH;RUA SANTOS FILHO;401;306;CENTRO;95900186;4;3.0;22;431140;-29,4661435;-51,9714313;4000;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31141E+12;5039568;;1;1;JIOVANA FRIEDRICH;JIOVANA FRIEDRICH;AV BENJAMIN CONSTANT;1010;604;CENTRO;95900104;4;3.0;22;431140;-29,4599278;-51,9685306;4000;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;676209;;3;1;MARCOS MACHADO SERVICOS MEDICOS LTDA;MARCOS MACHADO SERVICOS MEDICOS LTDA;SALDANHA MARINHO;736;;CENTRO;95900802;4;1.0;22;431140;-29,46349534;-51,96972013;2062;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3114E+12;924628;;3;1;DFALEIRO CUIDADOS COM A SAUDE LTDA;SAUDE CO;RUA DAS CAMELIAS;191;;ALTO DO PARQUE;95913355;4;1.0;22;431140;-29,45445259;-51,95016146;2062;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,3114E+12;114111;;3;1;BORN E FORSTER CASA DE REPOUSO EIRELI;CASA DE REPOUSO ACONCHEGO;RODOVIA ERS 421;3350;;CONVENTOS;95907700;4;1.0;22;431140;-29,4307022;-52,03356743;2062;Casas de Apoio à Saúde;26.0;0;1;0;2;0;0;0;4;1;1;0
