CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NIVEL_DEP;NO_RAZAO_SOCIAL;NO_FANTASIA;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NO_BAIRRO;CO_CEP;CO_ATIVIDADE;CO_CLIENTELA;TP_UNIDADE;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE;CO_NATUREZA_JUR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_ATIVIDADE_PRINCIPAL;STAFF_ACS_ENDEMIAS;STAFF_ADMIN_GESTAO_APOIO;STAFF_DIAG_LAB_IMAGEM;STAFF_ENFERMAGEM;STAFF_FARMACIA;STAFF_MEDICOS;STAFF_ODONTOLOGIA;STAFF_OUTROS;STAFF_OUTROS_SUPERIOR_SAUDE;STAFF_SERVICOS_GERAIS;STAFF_TRANSPORTE_URGENCIA
4,3149E+12;678406;;1;1;PAULO RICARDO COPETTI LEITE;PAULO RICARDO COPETTI LEITE;RUA MARQUES DO POMBAL;783;406;MOINHOS DE VENTO;90540001;4;1.0;22;431490;-30.02;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;679089;;3;1;NOVARE ODONTO SAUDE LTDA;NOVARE ODONTO SAUDE;JOAO DE OLIVEIRA REMIAO;6605;;LOMBA DO PINHEIRO;91560000;4;1.0;36;431490;-30.12;-51.11;2062;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;682616;;1;1;BRUNA FORNARI VANNI;BRUNA FORNARI VANNI;INDEPENDENCIA;172;203;INDEPENDENCIA;90035070;4;1.0;22;431490;-30.03;-51.22;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;686859;;3;1;ODONTOLOGIA BALTAZAR LTDA;DENTAL ARTE BALTAZAR;BALTAZAR DE OLIVEIRA GARCIA;3300;LOJA 01 E 02;RUBEM BERTA;91180000;4;1.0;36;431490;-30.01;-51.11;2062;;Ambulatório;1.0;0;2;0;0;0;0;1;0;0;1;0
4,3149E+12;691887;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;DROBEL FarmáciaS;VINTE E QUATRO DE OUTUBRO;576;;AUXILIADORA;90510000;4;1.0;43;431490;-30.03;-51.2;2046;;Farmácia;8.0;0;0;0;0;0;0;0;0;0;0;0
4,3149E+12;697427;;3;1;CLINICA ODONTOLOGICA LOCH LTDA;ODONTO LOCH;WENCESLAU ESCOBAR;3033;CONJ 808;VILA CONCEICAO;91900001;4;1.0;36;431490;-30.11;-51.25;2062;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,3149E+12;653799;;3;1;POSTAL SAUDE CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS D;POSTAL SAUDE CAIXA DE SSITENCIA E SAUDE DOS EMPREGADOS DOS;AVENIDA SIQUEIRA CAMPOS;1100;;CENTRO HISTORICO;90002900;4;1.0;36;431490;-30.03;-51.23;3999;;Ambulatório;1.0;0;1;0;2;0;1;2;0;0;1;0
4,3149E+12;678716;;3;1;ORTODONTIA HORST SOCIEDADE SIMPLES EPP;ORTODONTIA HORST;FRANCISCO FERRER;160;;RIO BRANCO;90420140;4;1.0;36;431490;-30.03;-51.21;2232;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,3149E+12;681547;;3;1;SJ PROTESES ODONTOLOGICAS LTDA;SJ PROTESES ODONTOLOGICAS;VIGARIO JOSE INACIO;547;CONJ 1103;CENTRO;90020100;4;1.0;36;431490;-30.03;-51.23;2062;;Laboratório de Prótese Dentária;27.0;0;0;0;0;0;0;0;1;0;0;0
4,3149E+12;686123;;3;1;ENFPRO SOLUCOES EM SAUDE EIRELI;ENFPRO;RUA CRISTOVAO PEREIRA;117;201 206 207;PASSO DAREIA;91030420;4;1.0;77;431490;-30.02;-51.19;2062;;Unidade de Atenção Domiciliar;6.0;0;0;0;1;0;0;0;0;0;0;0
4,3149E+12;691305;;3;1;CLINICA MEDICA CONTE LAITANO LTDA;CLINICA MEDICA CONTE LAITANO LTDA;RAMIRO BARCELOS;685;605;INDEPENDENCIA;90035005;4;1.0;36;431490;-30.03;-51.21;2062;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,3149E+12;682470;;3;1;NEDIO OMAR JANDIR FORTI;ATELIER DO SORRISO;AURELIANO DE FIGUEIREDO PINTO;936;;PRAIA DE BELAS;90050190;4;1.0;36;431490;-30.04;-51.22;2062;;Laboratório de Prótese Dentária;27.0;0;3;0;0;0;0;6;2;0;0;0
4,3149E+12;686166;;1;1;BENIE CRISPEL GOLDMAN;BENIE CRISPEL GOLDMAN;MARIANTE;180;601;RIO BRANCO;90430180;4;1.0;22;431490;-30.03;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;688665;;1;1;TANIA FERREIRA CESTARI;TANIA FERREIRA CESTARI;MOSTARDEIRO;333;415;INDEPENDENCIA;90430001;4;1.0;22;431490;-30.03;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;695688;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FarmáciaS;DOS ANDRADAS;1401;;CENTRO;90020008;4;1.0;43;431490;-30.03;-51.23;2046;;Ambulatório;1.0;0;0;0;0;2;0;0;0;0;0;0
4,31491E+12;9932127;9,29636E+13;3;3;MUNICIPIO DE PORTO ALEGRE;OPO 2 HOSPITAL SAO LUCAS DA PUC DE PORTO ALEGRE;AV IPIRANGA;6690;;JARDIM BOTANICO;90610000;4;3.0;82;431490;-30.06;-51.17;1244;;Central de Transplante;25.0;0;1;0;2;0;1;0;0;0;0;0
4,31491E+12;9895442;;3;1;NEOT NUCLEO DE ESTUDOS DE ORTOPEDIA E TRAUMATOLOGIA S S;NEOT NUCLEO DE ESTUDOS DE ORTOPEDIA E TRAUMATOLOGIA;RUA DONA OTI;110;CASA;PETROPOLIS;90680060;4;1.0;36;431490;-30.04;-51.18;2232;;Ambulatório;1.0;0;0;0;0;0;3;0;0;0;0;0
4,31491E+12;9927697;;1;1;BRUNA FREIRE ACCORSI;BRUNA FREIRE ACCORSI;AV BORGES DE MEDEIROS;2500;1906;PRAIA DE BELAS;90110150;4;1.0;22;431490;-30.05;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9933263;;1;1;JOSE CARLOS BRASIL PEIXOTO;JOSE CARLOS BRASIL PEIXOTO;RUA ITORORO;211;307;MENINO DEUS;90110290;4;1.0;22;431490;-30.06;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;995150;;1;1;JOCELY VIEIRA DA COSTA;JOCELY VIEIRA DA COSTA;RUA TOBIAS DA SILVA;267;401;MOINHOS DE VENTO;90570020;4;1.0;22;431490;-30.02;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;2022230;;3;1;AMERICAN PHARMA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI;AMERICAN PHARMA;IPIRANGA;999;LOJA 02;PRAIA DE BELAS;90160092;4;1.0;43;431490;-30.05;-51.22;2062;;Farmácia;8.0;0;2;0;0;7;0;0;2;0;0;0
4,3149E+12;2933012;;3;1;JOAO PEDRO LIMA ANDORFFY BEAL CLINICA;JOAO BEAL CLINICA MEDICA;GARIBALDI;1261;APT 302;FLORESTA;90035050;4;1.0;36;431490;-30.03;-51.22;2135;;Ambulatório;1.0;0;1;0;0;0;0;0;0;0;0;0
4,3149E+12;2836416;;3;1;ACURARTE SERVICOS DE PSICOLOGIA ENSINO E SAUDE EIRELI;ACURARTE SERVICOS DE PSICOLOGIA ENSINO E SAUDE;OSVALDO ARANHA;440;CONJ 404;BOM FIM;90035190;4;1.0;36;431490;-30.03;-51.22;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;1;1;0;0
4,3149E+12;2906082;;1;1;MILENE DE OLIVEIRA BECKER;MILENE DE OLIVEIRA BECKER;AVENIDA WENCESLAU ESCOBAR;2800;S 504;TRISTEZA;91900000;4;1.0;22;431490;-30.11;-51.26;4000;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,3149E+12;2842971;;3;1;TW CENTRO DE QUIROPRAXIA LTDA;COLUNA EM MOVIMENTO;WENCESLAU ESCOBAR;1203;;CRISTAL;91900000;4;1.0;36;431490;-30.1;-51.25;2062;;Ambulatório;1.0;0;0;0;0;0;0;0;2;0;0;0
4,3149E+12;2897067;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FarmáciaS;PROTASIO ALVES;7005;;PETROPOLIS;91310003;4;1.0;43;431490;-30.04;-51.16;2046;;Farmácia;8.0;0;0;0;0;4;0;0;0;0;0;0
4,31491E+12;9017399;;3;1;DA VINCI ODONTOLOGIA S S LTDA EPP;DA VINCI ODONTOLOGIA;AVENIDA SOLEDADE;569;1105;PETROPOLIS;90470340;4;1.0;36;431490;-30.04;-51.19;2240;;Ambulatório;1.0;0;1;0;0;0;0;1;0;0;0;0
4,31491E+12;9221271;;1;1;ROBERTA CARON VIERO;ROBERTA CARON VIERO;AV GOETHE;21;806;MOINHOS DE VENTO;90430100;4;1.0;22;431490;-30.02;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9236783;;1;1;ALESSANDRA FERRARI;ALESSANDRA FERRARI;AV GETULIO VARGAS;1151;612;MENINO DEUS;90150005;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9204032;;1;1;FERNANDA ROEHRS;FERNANDA ROEHRS;AV NILO PECANHA;2825;404;BELA VISTA;91330001;4;1.0;22;431490;-30.03;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9228365;;3;1;MARIA TERESA MARTINS FASOLO EIRELI EPP;MT FASOLO CLINICA ODONTOLOGICA;RUA PADRE CHAGAS;66;702;MOINHOS DE VENTO;90570080;4;1.0;36;431490;-30.02;-51.21;2062;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,31491E+12;9120629;;1;1;LUCIANE FANTI;LUCIANE FANTI;AV CEL LUCAS DE OLIVEIRA;505;704 E 705;MONT SERRAT;90440011;4;1.0;22;431490;-30.03;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9161309;;3;1;REGIS FERNANDO ANGNES ME;CLINICA VASCULAR REGIS ANGNES;RUA GOMES JARDIM;201;SALA 1003;SANTANA;90620130;4;3.0;36;431490;-30.04;-51.18;2135;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,31491E+12;9136827;;3;1;CLINICA ODONTOLOGICA RICARDI SOCIEDADE SIMPLES;CLINICA RICARDI;AV ENG LUDOLFO BOEHL;205;401;TERESOPOLIS;91720150;4;1.0;36;431490;-30.08;-51.21;2232;;Ambulatório;1.0;0;0;0;0;0;0;2;0;0;0;0
4,31491E+12;9141715;;3;1;MORSCH LEMONS SERVICOS MEDICOS LTDA EPP;ESSENZA MEDICINA;RUA RAMIRO BARCELOS;630;1205;FLORESTA;90035001;4;1.0;36;431490;-30.02;-51.21;2062;;Ambulatório;1.0;0;0;0;0;0;3;0;0;1;0;0
4,31491E+12;9115862;9,29636E+13;3;3;PREFEITURA MUNICIPAL DE PORTO ALEGRE;SERVICO DE APOIO DIAGNOSTICO VILA DOS COMERCIARIOS;MOAB CALDAS;400;;SANTA TEREZA;90880310;4;3.0;39;431490;-30.11;-51.25;1244;;Unidade de Apoio Diagnóstico;2.0;0;0;0;0;0;0;0;0;0;0;0
4,31491E+12;9138021;;1;1;ANDRE SAUTE;ANDRE SAUTE;RUA FELIX DA CUNHA;737;701;FLORESTA;90570001;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9123903;;1;1;FABIANA BORBA VAILATI;FABIANA BORBA VAILATI;AV INDEPENDENCIA;925;1011;INDEPENDENCIA;90430001;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;552925;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FarmáciaS;CAVALHADA;2955;;CAVALHADA;91740001;4;1.0;43;431490;-30.1;-51.23;2046;;Farmácia;8.0;0;0;0;0;1;0;0;0;0;0;0
4,3149E+12;562041;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FarmáciaS;ASSIS BRASIL;3522;LOJA 128A;JARDIM LINDOIA;91010003;4;1.0;43;431490;-30.01;-51.19;2046;;Farmácia;8.0;0;0;0;0;2;0;0;0;0;0;0
4,3149E+12;716774;;1;1;FERNANDO FIGUEIREDO BIASIN;FERNANDO FIGUEIREDO BIASIN;ANITA GARIBALDI;1143;504;MONTSERRAT;90450000;4;1.0;22;431490;-30.03;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;5348706;;1;1;VIVIANE MARIA GALEGO;VIVIANE MARIA GALEGO;AV CRISTOVAO COLOMBRO;1773;201;FLORESTA;90560004;4;3.0;22;431490;-30.01;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;5352436;;1;1;GERSON EVANDRO PERONDI;GERSON EVANDRO PERONDI;AV CARLOS GOMES;1998;802;PETROPOLIS;90480005;4;1.0;22;431490;-30.04;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;5353858;;1;1;OSMAR JOAO ZORTEA;OSMAR JOAO ZORTEA;AV PROTASIO ALVES;1022;302;SANTA CECILIA;90410004;4;1.0;22;431490;-30.04;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;5348749;;1;1;DANIEL GHIDALEVICH;DANIEL GHIDALEVICH;RUA GIORDANO BRUNO;291;;RIO BRANCO;90420150;4;3.0;22;431490;-30.03;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;0;3;0;0;0;0
4,31491E+12;5352533;;1;1;SUZANA MARIA LUCHO FERRET JEANS;SUZANA MARIA LUCHO FERRET JEANS;RUA DOS ANDRADAS;1727;63;CENTRO;90040000;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;3361810;;3;1;LABORATORIO MONTSERRAT LTDA;LABORATORIO MONTSERRAT LTDA;RUA MOSTARDEIRO;333;206 E 207;MOINHOS DE VENTO;90430001;4;3.0;39;431490;-30.02;-51.21;2062;;Unidade de Apoio Diagnóstico;2.0;0;1;1;0;2;0;0;0;1;0;0
4,31491E+12;6971482;;1;1;RENATA GERMANO GOMES FERREIRA;RENATA GERMANO GOMES FERREIRA;AV GETULIO VARGAS;1157;714;MENINO DEUS;90880481;4;1.0;22;431490;-30.06;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9793089;;1;1;FLAVIO AGUIAR DE MELLO AFFONSO;FLAVIO AGUIAR DE MELLO AFFONSO;AV DA PALMEIRA;18;603;PETROPOLIS;91350070;4;1.0;22;431490;-30.04;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9801189;;3;1;BLANC SERVICOS MEDICOS EIRELI;BLANC SERVICOS MEDICOS;RUA DR GASTAO RHODES;315;502;SANTANA;90620040;4;1.0;36;431490;-30.05;-51.2;2062;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6323472;;1;1;AMAURI DALACORTE;AMAURI DALACORTE;RUA PADRE CHAGAS;147;901;MOINHOS DE VENTO;90570080;4;1.0;22;431490;-30.03;-51.23;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;6655289;;1;1;GIOVANA PASQUAL BARBISAN VEDOY;GIOVANA PASQUAL BARBISAN VEDOY;AV BEIJAMIN CONSTANT;1130;301;SAO JOAO;90550001;4;1.0;22;431490;-30.01;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;0;1;0;0;0;0
4,31491E+12;9804714;;1;1;ANA CANDIDA DE AGUIAR MACHADO ESCARIZ;ANA CANDIDA DE AGUIAR MACHADO ESCARIZ;RUA JOAO TELLES;542;42;BOM FIM;90035120;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;9905669;;1;1;ROSANE TERESINHA DE FRANCESCHI MERG;ROSANE TERESINHA DE FRANCESCHI MERG;AV CRISTOVAO COLOMBO;1370;SALA 203;FLORESTA;90560001;4;1.0;22;431490;-30.02;-51.2;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,31491E+12;9913882;;1;1;CLAUDETH CONCEICAO DE OLIVEIRA LILJA;CLAUDETH CONCEICAO DE OLIVEIRA LILJA;AV TAQUARA;586;SALA 601;PETROPOLIS;90460210;4;1.0;22;431490;-30.04;-51.18;4000;;Ambulatório;1.0;0;0;0;0;0;0;0;0;1;0;0
4,31491E+12;9925562;;1;1;ANA PAULA MEZACAZA FILIPPON;ANA PAULA MEZACAZA FILIPPON;RUA DOM PEDRO II;1240;SALA 506;SAO JOAO;90550141;4;1.0;22;431490;-30.01;-51.19;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;675377;;1;1;CIDIO HALPERIN;CIDIO HALPERIN;RUA MOSTARDEIRO;157;704;INDEPENDENCIA;90430001;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;843385;;3;1;VICTOR AZEVEDO CARDIOLOGIA CLINICA LTDA;VICTOR AZEVEDO CARDIOLOGIA CLINICA;GOMES JARDIM;201;CONJ 302;SANTANA;90620130;4;1.0;36;431490;-30.05;-51.21;2062;;Ambulatório;1.0;0;0;0;0;0;2;0;0;0;0;0
4,3149E+12;833789;;3;1;R BRAGA SERVICOS MEDICOS SOCIEDADE SIMPLES;R BRAGA SERVICOS MEDICOS SOCIEDADE SIMPLES;CORONEL LUCAS DE OLIVEIRA;505;SALA 805;PETROPOLIS;90440011;4;1.0;36;431490;-30.03;-51.2;2232;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;844691;;1;1;PAULO RICARDO MOTTIN ROSA;PAULO RICARDO MOTTIN ROSA;RUA MIGUEL TOSTES;201;413;RIO BRANCO;90430061;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
4,3149E+12;836893;;3;1;DIMED S A DISTRIBUIDORA DE MEDICAMENTOS;PANVEL FarmáciaS;PROTASIO ALVES;8323;;MORRO SANTANA;91450147;4;1.0;43;431490;-30.04;-51.13;2046;;Farmácia;8.0;0;0;0;0;4;0;0;0;0;0;0
4,3149E+12;856886;;1;1;FERNANDO FRANCISCO YANES MOIA;FERNANDO FRANCISCO YANES MOIA;OSVALDO ARANHA;1022;604;BOM FIM;90035191;4;1.0;22;431490;-30.03;-51.21;4000;;Ambulatório;1.0;0;0;0;0;0;1;0;0;0;0;0
